first,second,third,four,five,six,seven,eight,nine,ten,output
200,230,200,170,262.49,262.49,304.8,304.8,-33.69006753,60.83,"[0, 1, 0, 0]"
200,220,200,180,269.07,269.07,297.32,297.32,-45,50.99,"[0, 0, 1, 0]"
200,210,200,190,275.86,275.86,290,290,-63.43494882,41.23,"[0, 0, 1, 0]"
200,200,200,200,282.84,282.84,282.84,282.84,-90,31.62,"[0, 0, 1, 0]"
200,190,200,210,290,290,275.86,275.86,-116.5650512,22.36,"[0, 0, 1, 0]"
200,180,200,220,297.32,297.32,269.07,269.07,-135,14.14,"[0, 0, 1, 0]"
200,170,200,230,304.8,304.8,262.49,262.49,-146.3099325,10,"[0, 0, 1, 0]"
190,170,210,230,311.45,298.33,270.19,254.95,-135,0,"[0, 0, 0, 1]"
180,170,220,230,318.28,292.06,278.03,247.59,93.0127875,164.92,"[0, 0, 0, 1]"
180,180,220,220,311.13,284.25,284.25,254.56,90,162.79,"[1, 0, 0, 0]"
180,190,220,210,304.14,276.59,290.69,261.73,86.9872125,161.25,"[1, 0, 0, 0]"
180,200,220,200,297.32,269.07,297.32,269.07,83.99099404,160.31,"[1, 0, 0, 0]"
170,200,230,200,304.8,262.49,304.8,262.49,81.02737339,150.33,"[0, 0, 0, 1]"
160,200,240,200,312.41,256.12,312.41,256.12,78.11134196,140.36,"[0, 0, 0, 1]"
150,200,250,200,320.16,250,320.16,250,75.25643716,130.38,"[0, 0, 0, 1]"
140,200,260,200,328.02,244.13,328.02,244.13,72.47443163,120.42,"[0, 0, 0, 1]"
130,200,270,200,336.01,238.54,336.01,238.54,69.77514057,110.45,"[0, 0, 0, 1]"
120,200,280,200,344.09,233.24,344.09,233.24,67.16634582,100.5,"[0, 0, 0, 1]"
110,200,290,200,352.28,228.25,352.28,228.25,64.65382406,90.55,"[0, 0, 0, 1]"
100,200,300,200,360.56,223.61,360.56,223.61,62.2414594,80.62,"[0, 0, 0, 1]"
90,200,310,200,368.92,219.32,368.92,219.32,59.93141718,70.71,"[0, 0, 0, 1]"
80,200,320,200,377.36,215.41,377.36,215.41,57.72435569,60.83,"[0, 0, 0, 1]"
70,200,330,200,385.88,211.9,385.88,211.9,55.61965528,50.99,"[0, 0, 0, 1]"
60,200,340,200,394.46,208.81,394.46,208.81,53.61564818,41.23,"[0, 0, 0, 1]"
50,200,350,200,403.11,206.16,403.11,206.16,51.70983681,31.62,"[0, 0, 0, 1]"
40,200,360,200,411.83,203.96,411.83,203.96,49.89909245,22.36,"[0, 0, 0, 1]"
30,200,370,200,420.59,202.24,420.59,202.24,48.17983012,14.14,"[0, 0, 0, 1]"
20,200,380,200,429.42,201,429.42,201,46.5481577,10,"[0, 0, 0, 1]"
20,210,380,190,424.85,191.05,434.17,210.95,45,0,"[1, 0, 0, 0]"
20,220,380,180,420.48,181.11,439.09,220.91,30.96375653,260.77,"[1, 0, 0, 0]"
30,220,370,180,411.46,182.48,430.46,222.04,32.27564431,252.39,"[0, 1, 0, 0]"
40,220,360,180,402.49,184.39,421.9,223.61,33.69006753,244.13,"[0, 1, 0, 0]"
50,220,350,180,393.57,186.82,413.4,225.61,35.21759297,236.01,"[0, 1, 0, 0]"
60,220,340,180,384.71,189.74,404.97,228.04,36.86989765,228.04,"[0, 1, 0, 0]"
60,230,340,170,380.13,180.28,410.49,237.7,35.21759297,222.04,"[1, 0, 0, 0]"
60,240,340,160,375.77,170.88,416.17,247.39,33.69006753,216.33,"[1, 0, 0, 0]"
60,250,340,150,371.62,161.55,422.02,257.1,32.27564431,210.95,"[1, 0, 0, 0]"
60,260,340,140,367.7,152.32,428.02,266.83,30.96375653,205.91,"[1, 0, 0, 0]"
60,270,340,130,364.01,143.18,434.17,276.59,29.7448813,201.25,"[1, 0, 0, 0]"
60,280,340,120,360.56,134.16,440.45,286.36,28.61045967,196.98,"[1, 0, 0, 0]"
60,290,340,110,357.35,125.3,446.88,296.14,27.55281158,193.13,"[1, 0, 0, 0]"
60,300,340,100,354.4,116.62,453.43,305.94,26.56505118,189.74,"[1, 0, 0, 0]"
60,310,340,90,351.71,108.17,460.11,315.75,25.64100582,186.82,"[1, 0, 0, 0]"
60,320,340,80,349.28,100,466.9,325.58,24.77514057,184.39,"[1, 0, 0, 0]"
60,330,340,70,347.13,92.2,473.81,335.41,23.96248897,182.48,"[1, 0, 0, 0]"
60,340,340,60,345.25,84.85,480.83,345.25,23.19859051,181.11,"[1, 0, 0, 0]"
60,350,340,50,343.66,78.1,487.95,355.11,22.4794344,180.28,"[1, 0, 0, 0]"
60,360,340,40,342.34,72.11,495.18,364.97,21.80140949,180,"[1, 0, 0, 0]"
70,360,330,40,332.42,80.62,488.36,366.74,22.4794344,170,"[0, 1, 0, 0]"
80,360,320,40,322.49,89.44,481.66,368.78,23.19859051,160,"[0, 1, 0, 0]"
90,360,310,40,312.57,98.49,475.08,371.08,23.96248897,150,"[0, 1, 0, 0]"
100,360,300,40,302.65,107.7,468.61,373.63,24.77514057,140,"[0, 1, 0, 0]"
110,360,290,40,292.75,117.05,462.28,376.43,25.64100582,130,"[0, 1, 0, 0]"
120,360,280,40,282.84,126.49,456.07,379.47,26.56505118,120,"[0, 1, 0, 0]"
130,360,270,40,272.95,136.01,450,382.75,27.55281158,110,"[0, 1, 0, 0]"
140,360,260,40,263.06,145.6,444.07,386.26,28.61045967,100,"[0, 1, 0, 0]"
150,360,250,40,253.18,155.24,438.29,390,29.7448813,90,"[0, 1, 0, 0]"
160,360,240,40,243.31,164.92,432.67,393.95,30.96375653,80,"[0, 1, 0, 0]"
170,360,230,40,233.45,174.64,427.2,398.12,32.27564431,70,"[0, 1, 0, 0]"
180,360,220,40,223.61,184.39,421.9,402.49,33.69006753,60,"[0, 1, 0, 0]"
190,360,210,40,213.78,194.16,416.77,407.06,35.21759297,50,"[0, 1, 0, 0]"
200,360,200,40,203.96,203.96,411.83,411.83,36.86989765,40,"[0, 1, 0, 0]"
210,360,190,40,194.16,213.78,407.06,416.77,38.65980825,30,"[0, 1, 0, 0]"
220,360,180,40,184.39,223.61,402.49,421.9,40.60129465,20,"[0, 1, 0, 0]"
230,360,170,40,174.64,233.45,398.12,427.2,42.70938996,10,"[0, 1, 0, 0]"
240,360,160,40,164.92,243.31,393.95,432.67,45,0,"[0, 1, 0, 0]"
250,360,150,40,155.24,253.18,390,438.29,-57.09475708,235.37,"[0, 1, 0, 0]"
260,360,140,40,145.6,263.06,386.26,444.07,-59.53445508,233.45,"[0, 1, 0, 0]"
260,350,140,50,148.66,264.76,376.96,436,-62.10272897,223.61,"[0, 0, 1, 0]"
260,340,140,60,152.32,266.83,367.7,428.02,-64.79887635,213.78,"[0, 0, 1, 0]"
260,330,140,70,156.52,269.26,358.47,420.12,-67.61986495,203.96,"[0, 0, 1, 0]"
260,320,140,80,161.25,272.03,349.28,412.31,-70.55996517,194.16,"[0, 0, 1, 0]"
260,310,140,90,166.43,275.14,340.15,404.6,-73.61045967,184.39,"[0, 0, 1, 0]"
